Name,X,Y,City,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,V_Type1,Hab_W1,Adj_H2,V_Type2,Hab_W2,Adj_H3,V_Type3,Hab_W3,Adj_H4,V_Type4,Hab_W4,IT_Width,Rest_Opp,Slope,Comments,3_m_depth,5_m_depth,0yster_Pre,Seagrass_P,geometry
A1,-80.84936,28.79892,Scottsmoor,TR,SM,,P,2,PUB,V,"231, 510",11,MF,509,4,V,210,3.0,W,,,18.0,Y,0.026,,11.0,18,N,N,POINT (-80.84936 28.79892)
A2,-80.84846,28.7995,Scottsmoor,TR,SM,,P,2,PUB,V,"510, 231, 111",10,MF,509,4,V,210,8.5,W,,,22.5,Y,0.006,drift algae,7.0,5,N,N,POINT (-80.84846 28.7995)
A3,-80.84744,28.79975,Scottsmoor,TR,SM,,P,2,PUB,V,"231, 510, 111",19,W,,0,,0,0.0,,,,19.0,Y,0.008,drift algae,16.5,20,N,N,POINT (-80.84744 28.79975)
A4,-80.84697,28.80001,Scottsmoor,OF,SM,,P,2,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"small creek, 2 m width",0.0,0,N,N,POINT (-80.84697 28.80001)
A5,-80.84657,28.80005,Scottsmoor,TS,MI,,P,3,PUB,V,"111, 231",9,V,111,10,W,0,0.0,,,,19.0,Y,0.01,,30.0,35,N,Y,POINT (-80.84657 28.80005)
A6,-80.84547,28.80044,Scottsmoor,TR,MI,,P,3,PUB,V,"111, 123, 108",5,W,,0,,0,0.0,,,,5.0,Y,0.198,"Erosion top of TR, 210 and mangrove islands 10 m out",34.0,51,N,N,POINT (-80.84547 28.80044)
A7,-80.84426,28.80041,Scottsmoor,TR,MI,,P,3,PUB,V,"111, 123",6,W,,0,,0,0.0,,,,6.0,Y,0.159,mangrove islands 10 m out,34.0,51,N,N,POINT (-80.84426 28.80041)
A8,-80.84377,28.80035,Scottsmoor,OF,HS,"RR, WO, CON",P,3,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"RR on left, BH rt, metal culvert, 1 m diameter",0.0,0,N,N,POINT (-80.84377 28.80035)
A9,-80.8431,28.80026,Scottsmoor,TR,MI,,P,2,PUB,V,"111, 123",3,W,,0,,0,0.0,,,,3.0,Y,0.16,mangrove island 10 m out,14.0,40,N,N,POINT (-80.8431 28.80026)
A10,-80.84184,28.80004,Scottsmoor,TR,MI,,P,3,PUB,V,"123, 111, 133",5,W,,0,,0,0.0,,,,5.0,Y,0.243,mangrove island 10 m out,42.0,54,N,N,POINT (-80.84184 28.80004)
