ID,X,Y,Location,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,Vegetation,Hab_W1,Adj_H2,Vegetati_1,Hab_W2,Adj_H3,Vegetati_2,Hab_W3,Adj_H4,Vegetati_3,Hab_W4,IT_Width,Slope,0yster_Pre,Seagrass_P,geometry
1,-80.84936,28.79892,Scottsmoor,Transect,Saltmarsh,,Park,2,Public,Vegetation,"231, 510",11,Mudflat,509,4,Vegetation,210,3,Water,,,18,0.026,No,No,POINT (-80.84936 28.79892)
2,-80.84846,28.7995,Scottsmoor,Transect,Saltmarsh,,Park,2,Public,Vegetation,"510, 231, 111",10,Mudflat,509,4,Vegetation,210,8,Water,,,22,0.006,No,No,POINT (-80.84846 28.7995)
3,-80.84744,28.79975,Scottsmoor,Transect,Saltmarsh,,Park,2,Public,Vegetation,"231, 510, 111",19,Water,0,0,,0,0,,,,19,0.008,No,No,POINT (-80.84744 28.79975)
4,-80.84697,28.80001,Scottsmoor,Outfall,Saltmarsh,,Park,2,Public,,,0,,0,0,,0,0,,,,0,0.0,No,No,POINT (-80.84697 28.80001)
5,-80.84657,28.80005,Scottsmoor,Transition,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"111, 231",9,Vegetation,111,10,Water,0,0,,,,19,0.01,No,Yes,POINT (-80.84657 28.80005)
6,-80.84547,28.80044,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"111, 123, 108",5,Water,0,0,,0,0,,,,5,0.198,No,No,POINT (-80.84547 28.80044)
7,-80.84426,28.80041,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"111, 123",6,Water,0,0,,0,0,,,,6,0.159,No,No,POINT (-80.84426 28.80041)
8,-80.84377,28.80035,Scottsmoor,Outfall,Hard Slope,"Riprap, wood, Concrete",Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,No,No,POINT (-80.84377 28.80035)
9,-80.8431,28.80026,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"111, 123",3,Water,0,0,,0,0,,,,3,0.16,No,No,POINT (-80.8431 28.80026)
10,-80.84184,28.80004,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"123, 111, 133",5,Water,0,0,,0,0,,,,5,0.243,No,No,POINT (-80.84184 28.80004)
11,-80.84084,28.79964,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"111, 123",4,Water,0,0,,0,0,,,,4,0.189,No,No,POINT (-80.84084 28.79964)
12,-80.8391,28.79787,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"123, 111",4,Water,0,0,,0,0,,,,4,0.233,No,No,POINT (-80.8391 28.79787)
13,-80.83785,28.79537,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,3,Public,Vegetation,"108, 111",2,Sand,0,2,Water,0,0,,,,4,0.18,No,No,POINT (-80.83785 28.79537)
14,-80.83728,28.79277,Scottsmoor,Transition,Hard Slope,"Riprap, Coquina",Mosquito Impoundment,2,Public,"Rock, Vegetation","111, 133",4,Water,0,0,,0,0,,,,4,0.28,No,No,POINT (-80.83728 28.79277)
15,-80.83756,28.79132,Scottsmoor,Transect,Hard Slope,"Riprap, Coquina",Mosquito Impoundment,2,Public,"Rock, Vegetation",527,3,Water,0,0,,0,0,,,,3,0.513,No,No,POINT (-80.83756 28.79132)
16,-80.83768,28.791,Scottsmoor,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,99,2,Vegetation,509,4,Water,0,0,,,,4,0.228,No,No,POINT (-80.83768 28.791)
17,-80.83772,28.79082,Scottsmoor,Transition,Hard Slope,"Riprap, Coquina",Mosquito Impoundment,2,Public,"Rock, Vegetation","111, 123",4,Water,0,0,,0,0,,,,4,0.238,No,No,POINT (-80.83772 28.79082)
18,-80.83768,28.78944,Scottsmoor,Outfall,Hard Slope,"Riprap, Coquina, Metal",Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,No,No,POINT (-80.83768 28.78944)
19,-80.83736,28.78813,Scottsmoor,Transition,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"123, 111",3,Vegetation,111,3,Water,0,0,,,,6,0.21,No,No,POINT (-80.83736 28.78813)
20,-80.83682,28.78583,Scottsmoor,Transect,No Structure,,Mosquito Impoundment,2,Public,Vegetation,"108, 123",5,Water,0,0,,0,0,,,,5,0.16,No,No,POINT (-80.83682 28.78583)
21,-80.797549,28.703232,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 107",2,Vegetation,0,2,Sand,0,2,Water,,,4,0.1,No,Yes,POINT (-80.797549 28.703232)
22,-80.77100158,28.72683372,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 107",2,Vegetation,111,2,Sand,0,2,Water,,,4,0.1,No,Yes,POINT (-80.77100158 28.72683372)
23,-80.77583257,28.72172881,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 123",5,Vegetation,111,1,Water,0,0,,,,1,0.33,Yes,No,POINT (-80.77583257 28.72172881)
24,-80.77083402,28.74142033,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"111, 123",5,Vegetation,111,1,Water,0,0,,,,6,0.33,Yes,No,POINT (-80.77083402 28.74142033)
25,-80.77127625,28.74433095,Merritt Island,Outfall,No Structure,,Mosquito Impoundment,1,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.77127625 28.74433095)
26,-80.77014453,28.74610389,Merritt Island,Transect,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123",5,Vegetation,111,1,Water,0,0,,,,1,0.33,Yes,No,POINT (-80.77014453 28.74610389)
27,-80.77073503,28.74936914,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 133",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.77073503 28.74936914)
28,-80.77162452,28.74968707,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 133",2,"Rock, Vegetation",111,2,Sand,0,2,Water,,,4,0.1,No,Yes,POINT (-80.77162452 28.74968707)
29,-80.77361933,28.75246944,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.77361933 28.75246944)
30,-80.77415083,28.75350444,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 133",2,"Rock, Vegetation",111,3,Water,0,0,,,,3,0.1,No,Yes,POINT (-80.77415083 28.75350444)
31,-80.77438342,28.75367912,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 527",5,Vegetation,111,1,Water,0,0,,,,1,0.33,Yes,No,POINT (-80.77438342 28.75367912)
32,-80.77479347,28.75369462,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 133, 123",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.77479347 28.75369462)
33,-80.77476002,28.75294989,Merritt Island,Transition,No Structure,,Mosquito Impoundment,1,Public,Vegetation,"101, 123, 527",5,Vegetation,111,1,Water,0,0,,,,1,0.33,Yes,No,POINT (-80.77476002 28.75294989)
34,-80.77595285,28.75261604,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.77595285 28.75261604)
35,-80.77666976,28.75225302,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 133, 527",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.77666976 28.75225302)
36,-80.77683421,28.75196971,Merritt Island,Transition,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"101, 123",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.77683421 28.75196971)
37,-80.78016962,28.75171565,Merritt Island,Transect,Hard Slope,Granite,Mosquito Impoundment,2,Public,Vegetation,"123, 527",2,"Rock, Vegetation",111,2,Water,0,0,,,,2,0.2,No,Yes,POINT (-80.78016962 28.75171565)
38,-80.78338852,28.75123663,Merritt Island,Outfall,Hard Slope,Granite,Mosquito Impoundment,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.78338852 28.75123663)
