"feature_x","feature_y","nearest_x","nearest_y","distance","distance_2","n","X","Y","bnk_height","Beach","WideBeach","Exposure","bathymetry","roads","PermStruc","PublicRamp","RiparianLU","canal","SandSpit","Structure","offshorest","SAV","marsh_all","tribs","defended","rd_pstruc","lowBnkStrc","ShlType","Fetch_","selectThis","StrucList","Response","study","angle","SMMv5Def","forestshl","SL_Length","SL_Lgth_mi","City","Point_Type","Edge_Type","Hard_Mater","Adj_LU","Erosion","Owner","Adj_H1","V_Type1","Hab_W1","Adj_H2","V_Type2","Hab_W2","Adj_H3","V_Type3","Hab_W3","Adj_H4","V_Type4","Hab_W4","IT_Width","Rest_Opp","Slope","X3_m_depth","X5_m_depth","X0yster_Pre","Seagrass_P","Hardened_1","Erosion_2","WTLD_VEG_3","Slope_4","X10th","X20th","X30th","X40th","X50th","X60th","X70th","X80th","X90th","X99th","Length","MANGROVE","predicted","geometry"
507913.511542449,3214897.10478116,507913.511542449,3214897.10478116,0,0,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",41.5317707523533,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,486.233347627,50,-2.43922808424649,c(507913.511542449, 3214897.10478116)
507895.674171138,3214998.12975198,507895.674171138,3214998.12975198,111,5.8208e-11,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",307.092837290839,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,486.233347627,50,-2.49420908489429,c(507895.674171138, 3214998.12975198)
507864.568958196,3215060.02343602,507864.568958196,3215060.02343602,222,5.8208e-11,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",338.459024081159,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,486.233347627,50,-2.5007030501382,c(507864.568958197, 3215060.02343602)
507790.509640278,3215134.48396576,507790.509640278,3215134.48396576,333,5.8208e-11,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",291.447736319863,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,486.233347627,50,-2.49096996811474,c(507790.509640278, 3215134.48396576)
507748.231183102,3215114.38092175,507748.231183102,3215114.38092175,444,5.8208e-11,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",329.931417157217,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,486.233347627,50,-2.49893751888801,c(507748.231183102, 3215114.38092175)
507686.807173292,3215124.03048109,507686.807173292,3215124.03048109,555,5.8208e-11,1,-80.92057,29.06456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",197.241459400581,NA,NA,NA,NA,"New Smyrna Beach","TR","SM",NA,"N",2,"PUB","V",0,3,"S, V",0,12,"S",0,38,"W",NA,NA,53,"N",0.15,10,12,"N","N",1,1,0,0,0.001358,0.003693,0.013982,0.028899,0.036267,0.050085,0.055425,0.074831,0.091946,0.137509,142.259281764,50,-2.47146577105814,c(507686.807173292, 3215124.03048109)
507787.691228069,3211177.8654858,507787.691228069,3211177.8654858,666,1.16415e-10,1,-80.91944,29.02886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",330.642246438657,NA,NA,NA,NA,"New Smyrna Beach","TS","BH","CON","M",3,"PRI","R",0,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,100,100,"Y","N",0,0,2,0,0.000965,0.002126,0.005342,0.020876,0.041724,0.048734,0.064529,0.08532,0.104809,0.167387,72.7432447889,40,0.841661863322388,c(507787.69122807, 3211177.8654858)
507807.372835599,3211280.36307766,507807.372835599,3211280.36307766,777,5.8208e-11,1,-80.91868,29.02994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",39.5596679665974,NA,NA,NA,NA,"New Smyrna Beach","TR","NS",NA,"V",2,"PUB","V",0,0,"V",0,6,"OY",0,3,"W",NA,NA,9,"N",0.2,40,50,"Y","N",1,1,0,0,0.00077,0.001961,0.004336,0.014496,0.035114,0.04303,0.059231,0.077197,0.099321,0.158198,164.761653543,50,-1.04355167970052,c(507807.372835599, 3211280.36307766)
507887.819718743,3211345.90645673,507887.819718743,3211345.90645673,888,0,1,-80.91868,29.02994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"IRL",88.2642954058215,NA,NA,NA,NA,"New Smyrna Beach","TR","NS",NA,"V",2,"PUB","V",0,0,"V",0,6,"OY",0,3,"W",NA,NA,9,"N",0.2,40,50,"Y","N",1,1,0,0,0.00077,0.001961,0.004336,0.014496,0.035114,0.04303,0.059231,0.077197,0.099321,0.158198,164.761653543,50,-1.05363534590842,c(507887.819718743, 3211345.90645673)
507851.818599383,3210800.0803022,507851.818599383,3210800.0803022,999,0,1,-80.91907,29.02604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",167.395852715933,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","O-Metal, CON","P",3,"PUB","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,100,100,"Y","N",0,0,2,0,0.000956,0.002982,0.006896,0.020085,0.04236,0.050742,0.067286,0.082608,0.106075,0.164736,102.609038552,40,0.925360058687961,c(507851.818599383, 3210800.0803022)
507876.275965387,3210691.80848787,507876.275965387,3210691.80848787,1110,5.8208e-11,1,-80.91876,29.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"IRL",167.1611837204,NA,NA,NA,NA,"New Smyrna Beach","TR","BH","CON","P",3,"PUB","V",99,0,"W",0,0,NA,0,0,NA,NA,NA,0,"N",0,100,100,"Y","N",0,0,2,0,0.000744,0.002356,0.007578,0.021712,0.035266,0.045099,0.058743,0.075594,0.095549,0.147839,160.357233074,50,1.01737256374498,c(507876.275965386, 3210691.80848787)
